,Hopital,Dept,ChefLieu,NbCOVID,NbLitDispo,NbDeces,NbSortieVivant,Date,Region,lat,long
0,Troyes,Aube,Troyes,,,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.2981,4.082
1,Epinal,Vosges,Épinal,4.0,3.0,1.0,2.0,2020-03-18 20:00:00,GrdEst,48.1688,6.4766
2,Claude-B,Moselle,Metz,4.0,2.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,49.1115,6.1906
3,HPM-Schuman,Moselle,Metz,7.0,1.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,49.1115,6.1906
4,CHR-CCV,Moselle,Metz,3.0,7.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,49.1115,6.1906
5,CHR-Mercy,Moselle,Metz,16.0,0.0,2.0,0.0,2020-03-18 20:00:00,GrdEst,49.1115,6.1906
6,CHR-Thionville,Moselle,Metz,2.0,3.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,49.1115,6.1906
7,Gentilly,Meurthe-et-Moselle,Nancy,1.0,5.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.6889,6.1709
8,Nancy-ChirB,Meurthe-et-Moselle,Nancy,3.0,10.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.6889,6.1709
9,Nancy-MIRB,Meurthe-et-Moselle,Nancy,13.0,1.0,2.0,0.0,2020-03-18 20:00:00,GrdEst,48.6889,6.1709
10,Nancy-MIRC,Meurthe-et-Moselle,Nancy,20.0,6.0,1.0,2.0,2020-03-18 20:00:00,GrdEst,48.6889,6.1709
11,Verdun,Meuse,Verdun,1.0,7.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.7685,5.1668
12,Reims-MIR,Marne,Châlons-en-Champagne,8.0,7.0,1.0,2.0,2020-03-18 20:00:00,GrdEst,48.9556,4.3737
13,Mulhouse-Chir,Haut-Rhin,Colmar,19.0,1.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.1203,7.3936
14,Colmar-Chir,Haut-Rhin,Colmar,10.0,0.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.1203,7.3936
15,Mulhouse-MIR,Haut-Rhin,Colmar,20.0,0.0,7.0,0.0,2020-03-18 20:00:00,GrdEst,48.1203,7.3936
16,HTP-Chir,Bas-Rhin,Strasbourg,13.0,5.0,1.0,0.0,2020-03-18 20:00:00,GrdEst,48.5673,7.7553
17,Saverne,Bas-Rhin,Strasbourg,4.0,3.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.5673,7.7553
18,Colmar-Med,Haut-Rhin,Colmar,15.0,0.0,1.0,1.0,2020-03-18 20:00:00,GrdEst,48.1203,7.3936
19,Haguenau,Bas-Rhin,Strasbourg,10.0,4.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.5673,7.7553
20,Charleville-Mezieres,Ardennes,Charleville-Mézières,,,0.0,0.0,2020-03-18 20:00:00,GrdEst,49.7783,4.7198
21,NHC-Chir,Bas-Rhin,Strasbourg,13.0,0.0,0.0,0.0,2020-03-18 20:00:00,GrdEst,48.5673,7.7553
22,HTP-Med,Bas-Rhin,Strasbourg,13.0,3.0,0.0,1.0,2020-03-18 20:00:00,GrdEst,48.5673,7.7553
23,NHC-Med,Bas-Rhin,Strasbourg,30.0,0.0,2.0,2.0,2020-03-18 20:00:00,GrdEst,48.5673,7.7553
24,NHC-Chir,Bas-Rhin,Strasbourg,13.0,0.0,0.0,0.0,2020-03-19 08:00:00,GrdEst,48.5673,7.7553
25,HTP-Med,Bas-Rhin,Strasbourg,18.0,1.0,0.0,2.0,2020-03-19 08:00:00,GrdEst,48.5673,7.7553
26,HTP-Chir,Bas-Rhin,Strasbourg,15.0,1.0,1.0,0.0,2020-03-19 08:00:00,GrdEst,48.5673,7.7553
27,Nancy-ChirB,Meurthe-et-Moselle,Nancy,4.0,6.0,0.0,0.0,2020-03-19 08:00:00,GrdEst,48.6889,6.1709
28,Mulhouse-MIR,Haut-Rhin,Colmar,20.0,0.0,7.0,0.0,2020-03-19 08:00:00,GrdEst,48.1203,7.3936
29,Mulhouse-Chir,Haut-Rhin,Colmar,19.0,1.0,0.0,0.0,2020-03-19 08:00:00,GrdEst,48.1203,7.3936
30,Reims-MIR,Marne,Châlons-en-Champagne,13.0,12.0,1.0,2.0,2020-03-19 08:00:00,GrdEst,48.9556,4.3737
31,Verdun,Meuse,Verdun,4.0,4.0,0.0,0.0,2020-03-19 08:00:00,GrdEst,48.7685,5.1668
32,Nancy-MIRC,Meurthe-et-Moselle,Nancy,23.0,3.0,1.0,2.0,2020-03-19 08:00:00,GrdEst,48.6889,6.1709
33,Nancy-MIRB,Meurthe-et-Moselle,Nancy,12.0,2.0,3.0,1.0,2020-03-19 08:00:00,GrdEst,48.6889,6.1709
34,Colmar-Med,Haut-Rhin,Colmar,15.0,0.0,1.0,1.0,2020-03-19 08:00:00,GrdEst,48.1203,7.3936
35,Colmar-Chir,Haut-Rhin,Colmar,15.0,0.0,1.0,0.0,2020-03-19 08:00:00,GrdEst,48.1203,7.3936
36,CHR-Mercy,Moselle,Metz,16.0,0.0,2.0,2.0,2020-03-19 08:00:00,GrdEst,49.1115,6.1906
37,CHR-Thionville,Moselle,Metz,3.0,7.0,0.0,0.0,2020-03-19 08:00:00,GrdEst,49.1115,6.1906
38,Epinal,Vosges,Épinal,5.0,0.0,1.0,2.0,2020-03-19 08:00:00,GrdEst,48.1688,6.4766
39,Claude-B,Moselle,Metz,4.0,2.0,0.0,0.0,2020-03-19 08:00:00,GrdEst,49.1115,6.1906
40,HPM-Schuman,Moselle,Metz,7.0,1.0,0.0,0.0,2020-03-19 08:00:00,GrdEst,49.1115,6.1906
41,Charleville-Mezieres,Ardennes,Charleville-Mézières,,,0.0,0.0,2020-03-19 08:00:00,GrdEst,49.7783,4.7198
42,Gentilly,Meurthe-et-Moselle,Nancy,1.0,5.0,0.0,0.0,2020-03-19 08:00:00,GrdEst,48.6889,6.1709
43,Saverne,Bas-Rhin,Strasbourg,6.0,3.0,0.0,0.0,2020-03-19 08:00:00,GrdEst,48.5673,7.7553
44,Haguenau,Bas-Rhin,Strasbourg,10.0,5.0,0.0,0.0,2020-03-19 08:00:00,GrdEst,48.5673,7.7553
45,NHC-Med,Bas-Rhin,Strasbourg,30.0,0.0,2.0,2.0,2020-03-19 08:00:00,GrdEst,48.5673,7.7553
46,CHR-CCV,Moselle,Metz,4.0,6.0,0.0,0.0,2020-03-19 08:00:00,GrdEst,49.1115,6.1906
47,Troyes,Aube,Troyes,,,0.0,0.0,2020-03-19 08:00:00,GrdEst,48.2981,4.082
48,Haguenau,Bas-Rhin,Strasbourg,10.0,5.0,0.0,0.0,2020-03-19 20:00:00,GrdEst,48.5673,7.7553
49,Saverne,Bas-Rhin,Strasbourg,6.0,3.0,0.0,0.0,2020-03-19 20:00:00,GrdEst,48.5673,7.7553
50,Troyes,Aube,Troyes,,,0.0,0.0,2020-03-19 20:00:00,GrdEst,48.2981,4.082
51,Charleville-Mezieres,Ardennes,Charleville-Mézières,,,0.0,0.0,2020-03-19 20:00:00,GrdEst,49.7783,4.7198
52,HTP-Med,Bas-Rhin,Strasbourg,19.0,1.0,0.0,2.0,2020-03-19 20:00:00,GrdEst,48.5673,7.7553
53,HTP-Chir,Bas-Rhin,Strasbourg,16.0,0.0,2.0,0.0,2020-03-19 20:00:00,GrdEst,48.5673,7.7553
54,Colmar-Med,Haut-Rhin,Colmar,15.0,0.0,1.0,1.0,2020-03-19 20:00:00,GrdEst,48.1203,7.3936
55,Colmar-Chir,Haut-Rhin,Colmar,15.0,0.0,1.0,0.0,2020-03-19 20:00:00,GrdEst,48.1203,7.3936
56,Colmar-NC,Haut-Rhin,Colmar,8.0,1.0,0.0,0.0,2020-03-19 20:00:00,GrdEst,48.1203,7.3936
57,Mulhouse-MIR,Haut-Rhin,Colmar,20.0,0.0,7.0,0.0,2020-03-19 20:00:00,GrdEst,48.1203,7.3936
58,Verdun,Meuse,Verdun,6.0,2.0,0.0,0.0,2020-03-19 20:00:00,GrdEst,48.7685,5.1668
59,Reims-MIR,Marne,Châlons-en-Champagne,13.0,12.0,1.0,2.0,2020-03-19 20:00:00,GrdEst,48.9556,4.3737
60,Nancy-MIRC,Meurthe-et-Moselle,Nancy,23.0,3.0,1.0,2.0,2020-03-19 20:00:00,GrdEst,48.6889,6.1709
61,Nancy-MIRB,Meurthe-et-Moselle,Nancy,13.0,9.0,3.0,1.0,2020-03-19 20:00:00,GrdEst,48.6889,6.1709
62,Gentilly,Meurthe-et-Moselle,Nancy,2.0,4.0,0.0,0.0,2020-03-19 20:00:00,GrdEst,48.6889,6.1709
63,CHR-Thionville,Moselle,Metz,4.0,3.0,0.0,0.0,2020-03-19 20:00:00,GrdEst,49.1115,6.1906
64,CHR-Mercy,Moselle,Metz,16.0,8.0,2.0,2.0,2020-03-19 20:00:00,GrdEst,49.1115,6.1906
65,CHR-CCV,Moselle,Metz,5.0,5.0,0.0,0.0,2020-03-19 20:00:00,GrdEst,49.1115,6.1906
66,HPM-Schuman,Moselle,Metz,7.0,1.0,0.0,0.0,2020-03-19 20:00:00,GrdEst,49.1115,6.1906
67,Claude-B,Moselle,Metz,4.0,2.0,0.0,0.0,2020-03-19 20:00:00,GrdEst,49.1115,6.1906
68,Epinal,Vosges,Épinal,5.0,0.0,1.0,2.0,2020-03-19 20:00:00,GrdEst,48.1688,6.4766
69,Mulhouse-Chir,Haut-Rhin,Colmar,20.0,0.0,0.0,0.0,2020-03-19 20:00:00,GrdEst,48.1203,7.3936
70,Nancy-ChirB,Meurthe-et-Moselle,Nancy,10.0,0.0,0.0,0.0,2020-03-19 20:00:00,GrdEst,48.6889,6.1709
71,NHC-Chir,Bas-Rhin,Strasbourg,13.0,0.0,0.0,0.0,2020-03-19 20:00:00,GrdEst,48.5673,7.7553
72,NHC-Med,Bas-Rhin,Strasbourg,29.0,1.0,2.0,7.0,2020-03-19 20:00:00,GrdEst,48.5673,7.7553
73,Sarreguemine,Moselle,Metz,7.0,0.0,2.0,0.0,2020-03-20 08:00:00,GrdEst,49.1115,6.1906
74,Claude-B,Moselle,Metz,6.0,0.0,1.0,0.0,2020-03-20 08:00:00,GrdEst,49.1115,6.1906
75,HPM-Schuman,Moselle,Metz,8.0,8.0,0.0,2.0,2020-03-20 08:00:00,GrdEst,49.1115,6.1906
76,CHR-CCV,Moselle,Metz,6.0,4.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,49.1115,6.1906
77,CHR-Mercy,Moselle,Metz,21.0,3.0,2.0,2.0,2020-03-20 08:00:00,GrdEst,49.1115,6.1906
78,CHR-Thionville,Moselle,Metz,4.0,3.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,49.1115,6.1906
79,Gentilly,Meurthe-et-Moselle,Nancy,2.0,4.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,48.6889,6.1709
80,Essey,Meurthe-et-Moselle,Nancy,1.0,7.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,48.6889,6.1709
81,Nancy-ChirB,Meurthe-et-Moselle,Nancy,8.0,4.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,48.6889,6.1709
82,Saverne,Bas-Rhin,Strasbourg,9.0,0.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,48.5673,7.7553
83,Nancy-MIRB,Meurthe-et-Moselle,Nancy,14.0,8.0,3.0,2.0,2020-03-20 08:00:00,GrdEst,48.6889,6.1709
84,Nancy-MIRC,Meurthe-et-Moselle,Nancy,15.0,8.0,1.0,2.0,2020-03-20 08:00:00,GrdEst,48.6889,6.1709
85,Epinal,Vosges,Épinal,8.0,0.0,1.0,2.0,2020-03-20 08:00:00,GrdEst,48.1688,6.4766
86,Reims-MIR,Marne,Châlons-en-Champagne,13.0,12.0,1.0,3.0,2020-03-20 08:00:00,GrdEst,48.9556,4.3737
87,Mulhouse-Chir,Haut-Rhin,Colmar,20.0,3.0,1.0,2.0,2020-03-20 08:00:00,GrdEst,48.1203,7.3936
88,Mulhouse-MIR,Haut-Rhin,Colmar,20.0,0.0,8.0,6.0,2020-03-20 08:00:00,GrdEst,48.1203,7.3936
89,Colmar-NC,Haut-Rhin,Colmar,8.0,0.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,48.1203,7.3936
90,Colmar-Chir,Haut-Rhin,Colmar,15.0,0.0,1.0,1.0,2020-03-20 08:00:00,GrdEst,48.1203,7.3936
91,Colmar-Med,Haut-Rhin,Colmar,15.0,0.0,5.0,1.0,2020-03-20 08:00:00,GrdEst,48.1203,7.3936
92,HTP-Chir,Bas-Rhin,Strasbourg,31.0,3.0,3.0,1.0,2020-03-20 08:00:00,GrdEst,48.5673,7.7553
93,HTP-Med,Bas-Rhin,Strasbourg,20.0,0.0,0.0,2.0,2020-03-20 08:00:00,GrdEst,48.5673,7.7553
94,NHC-Chir,Bas-Rhin,Strasbourg,13.0,0.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,48.5673,7.7553
95,NHC-Med,Bas-Rhin,Strasbourg,30.0,0.0,2.0,8.0,2020-03-20 08:00:00,GrdEst,48.5673,7.7553
96,Charleville-Mezieres,Ardennes,Charleville-Mézières,1.0,3.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,49.7783,4.7198
97,Troyes,Aube,Troyes,4.0,2.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,48.2981,4.082
98,St-Avold,Moselle,Metz,7.0,2.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,49.1115,6.1906
99,Verdun,Meuse,Verdun,6.0,8.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,48.7685,5.1668
100,Haguenau,Bas-Rhin,Strasbourg,10.0,6.0,0.0,0.0,2020-03-20 08:00:00,GrdEst,48.5673,7.7553
101,St-Avold,Moselle,Metz,7.0,2.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,49.1115,6.1906
102,Troyes,Aube,Troyes,4.0,2.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,48.2981,4.082
103,Saverne,Bas-Rhin,Strasbourg,9.0,0.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,48.5673,7.7553
104,Haguenau,Bas-Rhin,Strasbourg,12.0,4.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,48.5673,7.7553
105,NHC-Med,Bas-Rhin,Strasbourg,28.0,2.0,2.0,10.0,2020-03-20 20:00:00,GrdEst,48.5673,7.7553
106,NHC-Chir,Bas-Rhin,Strasbourg,13.0,0.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,48.5673,7.7553
107,HTP-Med,Bas-Rhin,Strasbourg,20.0,0.0,0.0,2.0,2020-03-20 20:00:00,GrdEst,48.5673,7.7553
108,HTP-Chir,Bas-Rhin,Strasbourg,31.0,3.0,3.0,1.0,2020-03-20 20:00:00,GrdEst,48.5673,7.7553
109,Colmar-Med,Haut-Rhin,Colmar,14.0,1.0,6.0,2.0,2020-03-20 20:00:00,GrdEst,48.1203,7.3936
110,Colmar-Chir,Haut-Rhin,Colmar,13.0,2.0,3.0,3.0,2020-03-20 20:00:00,GrdEst,48.1203,7.3936
111,Colmar-NC,Haut-Rhin,Colmar,9.0,0.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,48.1203,7.3936
112,Mulhouse-MIR,Haut-Rhin,Colmar,19.0,1.0,8.0,7.0,2020-03-20 20:00:00,GrdEst,48.1203,7.3936
113,Mulhouse-Chir,Haut-Rhin,Colmar,20.0,3.0,1.0,2.0,2020-03-20 20:00:00,GrdEst,48.1203,7.3936
114,Reims-MIR,Marne,Châlons-en-Champagne,13.0,14.0,1.0,3.0,2020-03-20 20:00:00,GrdEst,48.9556,4.3737
115,Verdun,Meuse,Verdun,7.0,7.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,48.7685,5.1668
116,Nancy-MIRC,Meurthe-et-Moselle,Nancy,26.0,0.0,1.0,2.0,2020-03-20 20:00:00,GrdEst,48.6889,6.1709
117,Nancy-MIRB,Meurthe-et-Moselle,Nancy,18.0,4.0,3.0,2.0,2020-03-20 20:00:00,GrdEst,48.6889,6.1709
118,Nancy-ChirB,Meurthe-et-Moselle,Nancy,12.0,2.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,48.6889,6.1709
119,Essey,Meurthe-et-Moselle,Nancy,6.0,2.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,48.6889,6.1709
120,Gentilly,Meurthe-et-Moselle,Nancy,4.0,2.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,48.6889,6.1709
121,CHR-Thionville,Moselle,Metz,5.0,2.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,49.1115,6.1906
122,CHR-Mercy,Moselle,Metz,23.0,6.0,3.0,2.0,2020-03-20 20:00:00,GrdEst,49.1115,6.1906
123,CHR-CCV,Moselle,Metz,6.0,4.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,49.1115,6.1906
124,HPM-Schuman,Moselle,Metz,10.0,6.0,0.0,2.0,2020-03-20 20:00:00,GrdEst,49.1115,6.1906
125,Claude-B,Moselle,Metz,6.0,0.0,1.0,0.0,2020-03-20 20:00:00,GrdEst,49.1115,6.1906
126,Sarreguemine,Moselle,Metz,9.0,5.0,2.0,0.0,2020-03-20 20:00:00,GrdEst,49.1115,6.1906
127,Epinal,Vosges,Épinal,9.0,0.0,1.0,2.0,2020-03-20 20:00:00,GrdEst,48.1688,6.4766
128,Charleville-Mezieres,Ardennes,Charleville-Mézières,2.0,7.0,0.0,0.0,2020-03-20 20:00:00,GrdEst,49.7783,4.7198
129,Nancy-ChirB,Meurthe-et-Moselle,Nancy,14.0,0.0,0.0,0.0,2020-03-21 08:00:00,GrdEst,48.6889,6.1709
130,St-Avold,Moselle,Metz,7.0,2.0,0.0,0.0,2020-03-21 08:00:00,GrdEst,49.1115,6.1906
131,Charleville-Mezieres,Ardennes,Charleville-Mézières,2.0,7.0,0.0,0.0,2020-03-21 08:00:00,GrdEst,49.7783,4.7198
132,Troyes,Aube,Troyes,2.0,6.0,0.0,0.0,2020-03-21 08:00:00,GrdEst,48.2981,4.082
133,Saverne,Bas-Rhin,Strasbourg,9.0,0.0,0.0,0.0,2020-03-21 08:00:00,GrdEst,48.5673,7.7553
134,Haguenau,Bas-Rhin,Strasbourg,15.0,2.0,0.0,0.0,2020-03-21 08:00:00,GrdEst,48.5673,7.7553
135,Epinal,Vosges,Épinal,9.0,0.0,1.0,2.0,2020-03-21 08:00:00,GrdEst,48.1688,6.4766
136,NHC-Chir,Bas-Rhin,Strasbourg,13.0,0.0,0.0,0.0,2020-03-21 08:00:00,GrdEst,48.5673,7.7553
137,HTP-Med,Bas-Rhin,Strasbourg,20.0,0.0,0.0,2.0,2020-03-21 08:00:00,GrdEst,48.5673,7.7553
138,HTP-Chir,Bas-Rhin,Strasbourg,22.0,2.0,3.0,1.0,2020-03-21 08:00:00,GrdEst,48.5673,7.7553
139,Colmar-Med,Haut-Rhin,Colmar,15.0,0.0,6.0,2.0,2020-03-21 08:00:00,GrdEst,48.1203,7.3936
140,Colmar-Chir,Haut-Rhin,Colmar,13.0,2.0,3.0,3.0,2020-03-21 08:00:00,GrdEst,48.1203,7.3936
141,Colmar-NC,Haut-Rhin,Colmar,9.0,0.0,0.0,0.0,2020-03-21 08:00:00,GrdEst,48.1203,7.3936
142,Mulhouse-MIR,Haut-Rhin,Colmar,20.0,0.0,8.0,7.0,2020-03-21 08:00:00,GrdEst,48.1203,7.3936
143,Mulhouse-Chir,Haut-Rhin,Colmar,20.0,3.0,1.0,2.0,2020-03-21 08:00:00,GrdEst,48.1203,7.3936
